system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2001_03_06_0000000000000000000c_0,69,24,7,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000001f_0,65,8,27,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000000d_0,42,53,5,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000002_0,22,3,75,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000001c_0,89,2,9,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000002a_0,88,8,4,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000002b_0,85,6,9,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000029_0,65,29,6,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000015_0,58,41,1,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_00000000000000000009_0,93,4,3,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06_0000000000000000000f_0,80,14,6,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
